level;code;name;parent;indicator;label;unit;value;period;inherited_from;source;tables
kunta;009;Alavieska;North Ostrobothnia;rent_obs;Rent observations;dwellings;14641;2026Q2;maakunta;Tilastokeskus asvu 15fa;asvu/15fa
kunta;009;Alavieska;North Ostrobothnia;rent_ara;Government-subsidised (ARA) rent;€ / m² / month;11.85;2026Q2;maakunta;Tilastokeskus asvu 15fa;asvu/15fa
kunta;009;Alavieska;North Ostrobothnia;rent_yoy;Rent change, year on year;%;-0.1;2026Q2;maakunta;Tilastokeskus asvu 15fa, annual change of the rent index;asvu/15fa
kunta;009;Alavieska;North Ostrobothnia;vacant;Dwellings with no permanent residents;%;17.11;2025;;Tilastokeskus raku 15f6 (dwelling stock by occupancy);raku/15f6
kunta;009;Alavieska;North Ostrobothnia;migration;Net migration;per 1,000 inh.;-6.29;2025;;Tilastokeskus muutl 11ae (vital statistics);muutl/11ae
kunta;009;Alavieska;North Ostrobothnia;migration_dom;Intermunicipal net migration;per 1,000 inh.;-7.97;2025;;Tilastokeskus muutl 11ae;muutl/11ae
kunta;009;Alavieska;North Ostrobothnia;completions_1000;Dwellings completed;per 1,000 dwellings;4.6;2026M07;maakunta;Tilastokeskus raku 156f (building and dwelling production, monthly, by region);raku/156f
kunta;009;Alavieska;North Ostrobothnia;starts_1000;Dwellings started;per 1,000 dwellings;5.37;2026M07;maakunta;Tilastokeskus raku 156f;raku/156f
kunta;009;Alavieska;North Ostrobothnia;permits_1000;Dwellings permitted;per 1,000 dwellings;5.19;2026M07;maakunta;Tilastokeskus raku 156f;raku/156f
kunta;009;Alavieska;North Ostrobothnia;tax_home;Property tax, permanent dwelling;%;0.55;2026;;Verohallinto, kiinteistöveroprosentit kunnittain (kive_202);vero/kive_202
kunta;009;Alavieska;North Ostrobothnia;tax_other;Property tax, other dwelling;%;1.1;2026;;Verohallinto, kiinteistöveroprosentit kunnittain (kive_202);vero/kive_202
kunta;009;Alavieska;North Ostrobothnia;tax_general;Property tax, general (building);%;1.3;2026;;Verohallinto, kiinteistöveroprosentit kunnittain (kive_202);vero/kive_202
kunta;009;Alavieska;North Ostrobothnia;tax_land;Property tax, general (land);%;1.3;2026;;Verohallinto, kiinteistöveroprosentit kunnittain (kive_202);vero/kive_202
kunta;009;Alavieska;North Ostrobothnia;tax_income;Municipal income tax;%;9.3;2026;;Verohallinto, kuntien ja seurakuntien tuloveroprosentit;vero/tuloveroprosentit
kunta;009;Alavieska;North Ostrobothnia;fc_growth;Projected population change 2026→2040;%;-9.24;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;009;Alavieska;North Ostrobothnia;fc_abs;Projected change in residents 2026→2040;residents;-217;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;009;Alavieska;North Ostrobothnia;fc_growth_5y;Projected population change 2026→2031;%;-4.68;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;009;Alavieska;North Ostrobothnia;fc_pop_rate_5y;Projected population change, per year;residents per 1,000 / yr;-9.37;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;009;Alavieska;North Ostrobothnia;fc_0_6;Projected change, aged 0–6;%;-2.63;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;009;Alavieska;North Ostrobothnia;fc_7_15;Projected change, aged 7–15;%;-29.37;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;009;Alavieska;North Ostrobothnia;fc_20_34;Projected change, aged 20–34;%;-6.9;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;009;Alavieska;North Ostrobothnia;fc_20_34_rel;Projected 20–34 share vs Finland;pp;-5.481;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;009;Alavieska;North Ostrobothnia;fc_80p;Projected change, aged 80+;%;54.5;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;009;Alavieska;North Ostrobothnia;crime_1000;Reported offences;per 1,000 inh.;59.14;2025;;Tilastokeskus rpk 13h4 (offences per 1 000 population in the area);rpk/13h4
kunta;009;Alavieska;North Ostrobothnia;violence_1000;Violent offences;per 1,000 inh.;2.52;2025;;Tilastokeskus rpk 13h4 (offences per 1 000 population in the area);rpk/13h4
kunta;009;Alavieska;North Ostrobothnia;property_1000;Property offences;per 1,000 inh.;18.04;2025;;Tilastokeskus rpk 13h4 (offences per 1 000 population in the area);rpk/13h4
kunta;009;Alavieska;North Ostrobothnia;vandalism_1000;Criminal damage;per 1,000 inh.;2.52;2025;;Tilastokeskus rpk 13h4 (offences per 1 000 population in the area);rpk/13h4
kunta;009;Alavieska;North Ostrobothnia;drugs_1000;Narcotics offences;per 1,000 inh.;3.36;2025;;Tilastokeskus rpk 13h4 (offences per 1 000 population in the area);rpk/13h4
kunta;009;Alavieska;North Ostrobothnia;burglary_1000dw;Dwelling burglary;per 1,000 dwellings;0.77;2025;;Tilastokeskus rpk 13ex (offences known to the authorities) ÷ Paavo dwelling stock;rpk/13ex
kunta;009;Alavieska;North Ostrobothnia;crime_trend;Reported offences, year on year;%;-5.62;2025;;Tilastokeskus rpk 13h4;rpk/13h4
kunta;009;Alavieska;North Ostrobothnia;flood_river_100;Watercourse flood hazard zone — 1/100a;% of land;15.76;2025;;Suomen ympäristökeskus (Syke) — tulvavaaravyöhykkeet, perusskenaariot (CC BY 4.0);climate/flood
kunta;009;Alavieska;North Ostrobothnia;flood_river_1000;Watercourse flood hazard zone — 1/1000a;% of land;19.32;2025;;Suomen ympäristökeskus (Syke) — tulvavaaravyöhykkeet, perusskenaariot (CC BY 4.0);climate/flood
